CAR_ID,Tire_Wear,Fuel_Level,Race_Position,Laps_Since_Last_Pit,TYPE, FUEL_LOSS, TIRE_LOSS
CAR_01, 0.6, 50, 1, 10
CAR_02, 0.7, 45, 2, 12
CAR_03, 0.5, 60, 3, 8,FULL_ACCIDENT, 100, 100
CAR_04, 0.8, 30, 4, 15
CAR_05, 0.4, 70, 5, 5,FULL_ACCIDENT, 100, 100
CAR_06, 0.7, 55, 6, 11
CAR_07, 0.6, 40, 7, 13
CAR_08, 0.5, 65, 8, 7
CAR_09, 0.8, 35, 9, 14
CAR_10, 0.4, 75, 10, 6
CAR_11, 0.3, 80, 11, 4
CAR_12, 0.7, 50, 12, 10
CAR_13, 0.6, 45, 13, 9
CAR_14, 0.5, 55, 14, 8
CAR_15, 0.8, 25, 15, 16
CAR_16, 0.4, 60, 16, 7
CAR_17, 0.7, 40, 17, 12
CAR_18, 0.6, 35, 18, 13
CAR_19, 0.5, 70, 19, 6
CAR_20, 0.8, 20, 20, 17
